accuracy,precision,scheduler,activation_function,dense_out_features,warmup_steps,recall,epochs,AUC,dataset_size,model
0.8649266270863673,0.66020566693793,warmupconstant,Tanh,512,,0.8613899613899614,9,0.8636927925111733,16000,BAAI/bge-base-en-v1.5
0.860983533101826,0.6550951847704367,warmuplinear,ReLU,256,,0.847007722007722,10,0.8561077997347144,16000,BAAI/bge-base-en-v1.5
0.8615212277360815,0.6530432871896287,warmuplinear,Tanh,256,,0.8606177606177606,10,0.8612060356699307,16000,BAAI/bge-base-en-v1.5
0.8656435532653747,0.6665648621821791,warmupconstant,ReLU,256,,0.8426640926640927,6,0.8576267217514483,32000,BAAI/bge-base-en-v1.5
0.8645233561106754,0.6642046752455646,warmupcosine,ReLU,256,,0.841988416988417,9,0.8566616045554776,32000,BAAI/bge-base-en-v1.5
0.8683768343228409,0.668520327647103,warmupconstant,Tanh,1024,,0.8586872586872587,7,0.8649964375128489,32000,BAAI/bge-base-en-v1.5
0.8538142713117509,0.6370719851311745,warmupcosine,Tanh,512,500,0.8602316602316602,14,0.8560531021800168,2000,BAAI/bge-base-en-v1.5
0.8544639856614764,0.6375676445457135,warmupcosine,Tanh,1024,500,0.8642857142857143,12,0.8578904866103991,2000,BAAI/bge-base-en-v1.5
0.8542175422874426,0.6404052182785511,warmupconstant,Tanh,512,1000,0.8481660231660232,11,0.852106352210291,2000,BAAI/bge-base-en-v1.5
0.8517531085471043,0.6364365386017351,warmuplinear,Tanh,256,1000,0.8426640926640927,11,0.8485822286806971,2000,BAAI/bge-base-en-v1.5
0.8676823120869273,0.6994804729487639,warmupconstant,Tanh,2048,1000,0.7537644787644787,2,0.8279398615558352,1000,BAAI/bge-base-en-v1.5
0.8674582726559874,0.6975813622621376,warmupcosine,Tanh,2048,1000,0.7572393822393823,2,0.8290062702590054,1000,BAAI/bge-base-en-v1.5
0.8659796124117844,0.6922874209416725,warmupcosine,Tanh,1024,1000,0.7607142857142857,3,0.8292557570073981,1000,BAAI/bge-base-en-v1.5
0.8661364400134424,0.6994813938677099,warmupconstant,Tanh,1024,500,0.7420849420849421,2,0.8228586636026463,1000,BAAI/bge-base-en-v1.5
0.8737313767223032,0.6804430863254393,warmuplinear,Tanh,2048,1000,0.8597490347490347,8,0.8688533649310454,128000,BAAI/bge-base-en-v1.5
0.8728800268847318,0.6788549618320611,warmuplinear,Tanh,256,500,0.8583976833976834,8,0.8678275798461794,128000,BAAI/bge-base-en-v1.5
0.8691833762742243,0.6700007520493344,warmupcosine,Tanh,2048,500,0.8599420849420849,8,0.8659593721574027,64000,BAAI/bge-base-en-v1.5
0.8707516522908032,0.6677383997077092,warmuplinear,Tanh,1024,1000,0.8820463320463321,8,0.8746920208736402,256000,BAAI/bge-base-en-v1.5
0.8690937605018483,0.6648419823370557,warmupcosine,Tanh,256,1000,0.8792471042471043,8,0.8726359518317942,256000,BAAI/bge-base-en-v1.5
0.8708636720062731,0.6747262773722628,warmupconstant,Tanh,512,1000,0.8565637065637066,8,0.8658748510936696,64000,BAAI/bge-base-en-v1.5
0.8722975243642881,0.6774832419256551,warmuplinear,Tanh,256,500,0.8584942084942085,8,0.8674819693091027,128000,BAAI/bge-base-en-v1.5
0.8693402038758822,0.6650867726410967,warmuplinear,Tanh,256,500,0.8804054054054054,8,0.8732005145188952,256000,BAAI/bge-base-en-v1.5
0.8729248347709196,0.6738356570750519,warmupconstant,Tanh,256,500,0.8770270270270271,8,0.874355964279378,256000,BAAI/bge-base-en-v1.5
0.87236473619357,0.6779091949637543,warmupcosine,Tanh,512,500,0.8575289575289575,8,0.8671889864231221,128000,BAAI/bge-base-en-v1.5
0.8733729136327993,0.6786039453717754,warmupconstant,Tanh,2048,1000,0.8633204633204633,8,0.8698659209381309,32000,WhereIsAI/UAE-Large-V1
0.8734401254620813,0.6791118546118166,warmupconstant,Tanh,2048,500,0.8620656370656371,8,0.8694719140835114,32000,WhereIsAI/UAE-Large-V1
0.873888204323961,0.6800365324606135,warmupconstant,Tanh,1024,500,0.8624517374517374,8,0.8698983705493551,32000,WhereIsAI/UAE-Large-V1
0.8733281057466113,0.6787179097675832,warmupconstant,Tanh,1024,1000,0.8625482625482626,8,0.8695673479043282,32000,WhereIsAI/UAE-Large-V1
0.8795115940405511,0.6947310819262039,warmupconstant,Tanh,2048,500,0.8578185328185328,8,0.871943547955583,128000,WhereIsAI/UAE-Large-V1
