number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dense_out_features,params_freeze_embedding_model,params_learning_rate,params_scheduler,params_warmup_steps,state
0,0.8674,2024-02-22 04:45:27.566221,2024-02-22 04:50:07.431731,0 days 00:04:39.865510,64,662,True,0.0007311964420881595,warmuplinear,1000,COMPLETE
1,0.8657,2024-02-22 04:45:27.600210,2024-02-22 04:50:13.724326,0 days 00:04:46.124116,64,657,True,0.0004899812490843369,warmupcosine,1500,COMPLETE
2,0.8609,2024-02-22 04:45:27.379631,2024-02-22 04:48:38.924232,0 days 00:03:11.544601,64,696,True,0.00078180620327249,warmupcosinewithhardrestarts,1500,COMPLETE
3,0.8657,2024-02-22 04:45:27.634526,2024-02-22 04:50:13.580265,0 days 00:04:45.945739,64,832,True,0.00098444634345267,warmuplinear,500,COMPLETE
4,0.853,2024-02-22 04:45:28.370815,2024-02-22 04:49:36.292955,0 days 00:04:07.922140,32,576,False,0.0005400090308895182,warmupcosine,500,COMPLETE
5,0.8646,2024-02-22 04:45:30.594485,2024-02-22 04:49:59.966370,0 days 00:04:29.371885,32,561,True,0.0006867387818392641,warmupcosine,1000,COMPLETE
6,0.853,2024-02-22 04:45:30.740968,2024-02-22 04:49:12.961811,0 days 00:03:42.220843,64,444,False,0.0007383381609133691,warmupcosine,1500,COMPLETE
7,0.853,2024-02-22 04:45:28.338916,2024-02-22 04:48:59.312064,0 days 00:03:30.973148,64,392,True,0.0008031745957848115,warmupcosinewithhardrestarts,1500,COMPLETE
8,0.8646,2024-02-22 04:45:30.560017,2024-02-22 04:50:00.002733,0 days 00:04:29.442716,32,563,True,0.0009979736767861064,warmupcosine,500,COMPLETE
9,0.8726,2024-02-22 04:45:51.340712,2024-02-22 04:58:13.242208,0 days 00:12:21.901496,32,622,True,0.0006016261039377558,warmuplinear,1000,COMPLETE
10,0.856,2024-02-22 04:45:55.874874,2024-02-22 04:56:08.667584,0 days 00:10:12.792710,64,516,False,0.0002743664000236944,warmuplinear,1000,COMPLETE
11,0.856,2024-02-22 04:45:54.255511,2024-02-22 04:56:07.291684,0 days 00:10:13.036173,64,777,False,0.0006535198299367474,constantlr,500,COMPLETE
12,0.8694,2024-02-22 04:46:02.915983,2024-02-22 04:54:44.279887,0 days 00:08:41.363904,64,539,True,0.0007212601217397026,warmupcosinewithhardrestarts,500,COMPLETE
13,,2024-02-22 04:46:02.774795,2024-02-22 04:55:29.753690,0 days 00:09:26.978895,32,443,False,0.00043394079712608054,warmupcosine,1500,FAIL
14,0.8694,2024-02-22 04:46:17.022985,2024-02-22 04:54:51.533999,0 days 00:08:34.511014,64,884,False,0.0001259085118118595,constantlr,500,COMPLETE
15,0.8693,2024-02-22 04:46:05.158525,2024-02-22 04:56:04.387534,0 days 00:09:59.229009,64,905,True,0.00020041760480278518,warmupcosine,1500,COMPLETE
16,0.859,2024-02-22 04:46:26.466813,2024-02-22 04:57:41.826665,0 days 00:11:15.359852,64,478,False,0.0008993502487596238,warmupconstant,1000,COMPLETE
17,0.8798,2024-02-22 04:45:49.726365,2024-02-22 04:57:00.504044,0 days 00:11:10.777679,64,578,False,1.5961097643594845e-05,warmupcosinewithhardrestarts,1500,COMPLETE
18,0.8548,2024-02-22 04:46:03.736375,2024-02-22 04:54:39.068575,0 days 00:08:35.332200,64,751,False,0.0007442804042831372,warmupcosine,1000,COMPLETE
19,0.8583,2024-02-22 04:46:06.733881,2024-02-22 04:54:25.895656,0 days 00:08:19.161775,64,604,True,0.000560940990495401,constantlr,500,COMPLETE
20,0.8605,2024-02-22 04:46:24.734538,2024-02-22 04:57:18.123258,0 days 00:10:53.388720,64,493,True,0.0008190425559598645,warmuplinear,1500,COMPLETE
21,0.8548,2024-02-22 04:46:05.350098,2024-02-22 04:54:36.317836,0 days 00:08:30.967738,64,725,True,0.0009373030503202553,constantlr,500,COMPLETE
22,0.859,2024-02-22 04:47:09.863110,2024-02-22 04:57:38.835693,0 days 00:10:28.972583,64,875,True,0.0001786702428730375,warmupcosinewithhardrestarts,1000,COMPLETE
23,0.8498,2024-02-22 04:45:52.758155,2024-02-22 04:55:53.896356,0 days 00:10:01.138201,64,672,True,0.0008942202623175309,warmupconstant,1000,COMPLETE
24,0.8572,2024-02-22 04:48:54.689399,2024-02-22 04:53:03.435650,0 days 00:04:08.746251,32,442,True,0.0004532252281876981,constantlr,1000,COMPLETE
25,0.8572,2024-02-22 04:49:36.637201,2024-02-22 04:52:11.374921,0 days 00:02:34.737720,64,630,True,0.0007697263996913992,warmuplinear,500,COMPLETE
26,0.8572,2024-02-22 04:49:51.093777,2024-02-22 04:52:25.399462,0 days 00:02:34.305685,64,460,False,0.0009600566026964594,warmupcosinewithhardrestarts,1000,COMPLETE
27,0.77,2024-02-22 04:49:51.124764,2024-02-22 04:52:45.870157,0 days 00:02:54.745393,32,588,False,0.0009284259854831175,constantlr,1000,COMPLETE
28,0.8587,2024-02-22 04:50:01.903936,2024-02-22 04:53:06.126957,0 days 00:03:04.223021,32,688,True,2.5603383868812637e-05,constantlr,1000,COMPLETE
29,0.8644,2024-02-22 04:50:01.867930,2024-02-22 04:52:31.996088,0 days 00:02:30.128158,64,831,True,0.0006033859494758136,constantlr,1500,COMPLETE
30,0.8647,2024-02-22 04:50:12.187278,2024-02-22 04:53:56.701910,0 days 00:03:44.514632,64,496,True,0.0005949359192589905,warmupcosine,1500,COMPLETE
31,0.8637,2024-02-22 04:50:29.161443,2024-02-22 04:54:26.865888,0 days 00:03:57.704445,64,545,True,0.00012694763774913042,warmupcosinewithhardrestarts,500,COMPLETE
32,0.8691,2024-02-22 04:50:55.907525,2024-02-22 04:54:55.334699,0 days 00:03:59.427174,32,544,True,0.00046965360548099634,warmuplinear,500,COMPLETE
33,0.8638,2024-02-22 04:54:44.672980,2024-02-22 05:01:59.768088,0 days 00:07:15.095108,64,764,False,0.0004167747691663205,warmupconstant,1000,COMPLETE
34,0.8638,2024-02-22 04:54:53.060357,2024-02-22 05:01:59.738176,0 days 00:07:06.677819,64,920,False,0.00033612549672752635,warmupconstant,500,COMPLETE
