metric_accuracy,metric_precision,metric_recall,metric_AUC,model_name,dataset_size,dense_out_features,learning_rate,scheduler,warmup_steps,freeze_embedding_model,batch_size,num_epochs
0.8791,0.6915,0.8565,0.8712,sentence-transformers/all-mpnet-base-v2,64000,460,0.00044297577550954733,warmupconstant,1500,True,32,8
0.8787,0.6894,0.86,0.8721,sentence-transformers/all-mpnet-base-v2,64000,840,4.8525225245631094e-05,warmupcosinewithhardrestarts,500,True,32,8
0.8783,0.693,0.8452,0.8667,sentence-transformers/all-mpnet-base-v2,64000,218,0.0008221053272935883,warmupcosine,1000,True,64,8
0.8781,0.6897,0.8543,0.8698,sentence-transformers/all-mpnet-base-v2,32000,496,0.00010539553615148187,constantlr,1500,True,64,8
0.8778,0.6911,0.8474,0.8671,sentence-transformers/all-mpnet-base-v2,64000,441,0.0002611072045504248,warmuplinear,1500,True,32,8
0.8773,0.6847,0.8648,0.8729,sentence-transformers/all-mpnet-base-v2,16000,154,0.00010958816095942344,warmupconstant,1000,False,32,8
0.8755,0.6873,0.8417,0.8637,sentence-transformers/all-mpnet-base-v2,32000,271,0.0007251864847659226,warmupcosine,1500,True,32,8
0.8751,0.6842,0.8487,0.8658,sentence-transformers/all-mpnet-base-v2,32000,569,0.0002808685563456899,warmuplinear,1500,True,32,8
0.8746,0.6856,0.84,0.8625,sentence-transformers/all-mpnet-base-v2,32000,449,0.0007490804955204284,warmupconstant,1000,True,64,8
0.8739,0.6807,0.8509,0.8658,sentence-transformers/all-mpnet-base-v2,32000,654,0.0008409786057375759,warmupconstant,1500,True,64,8
0.8736,0.6863,0.8296,0.8582,sentence-transformers/all-mpnet-base-v2,64000,170,0.000654495168589951,warmupconstant,500,True,32,8
0.8732,0.6794,0.8496,0.8649,sentence-transformers/all-mpnet-base-v2,16000,776,0.0002175305381343711,warmupcosinewithhardrestarts,1500,True,64,8
0.8715,0.6758,0.8483,0.8634,sentence-transformers/all-mpnet-base-v2,16000,524,0.00011631221955342432,constantlr,500,True,32,8
0.8712,0.6719,0.86,0.8673,sentence-transformers/all-mpnet-base-v2,16000,819,6.37078707374717e-05,warmupcosinewithhardrestarts,1000,True,32,8
0.8712,0.672,0.8596,0.8671,sentence-transformers/all-mpnet-base-v2,16000,528,9.572268958030684e-05,warmuplinear,1500,True,64,8
0.8708,0.6703,0.8626,0.8679,sentence-transformers/all-mpnet-base-v2,16000,914,5.6604571847092264e-05,warmupcosine,500,True,64,8
0.77,0.0,0.0,0.5,sentence-transformers/all-mpnet-base-v2,16000,892,0.0006699934309568344,constantlr,1500,False,32,8
0.77,0.0,0.0,0.5,sentence-transformers/all-mpnet-base-v2,32000,533,0.00040060750525229024,warmupconstant,1500,False,32,8
0.77,0.0,0.0,0.5,sentence-transformers/all-mpnet-base-v2,32000,305,0.0007208967011157907,constantlr,1000,False,32,8
0.77,0.0,0.0,0.5,sentence-transformers/all-mpnet-base-v2,32000,113,0.000622256840055344,constantlr,1000,False,32,8
0.77,0.0,0.0,0.5,sentence-transformers/all-mpnet-base-v2,16000,346,0.000912180899243017,warmupcosinewithhardrestarts,1500,False,32,8
0.77,0.0,0.0,0.5,sentence-transformers/all-mpnet-base-v2,16000,970,0.000790807541867175,warmupcosine,500,False,32,8
