model_id,cossim_accuracy,cossim_accuracy_threshold,cossim_f1,cossim_f1_threshold,cossim_precision,cossim_recall,cossim_ap,manhattan_accuracy,manhattan_accuracy_threshold,manhattan_f1,manhattan_f1_threshold,manhattan_precision,manhattan_recall,manhattan_ap,euclidean_accuracy,euclidean_accuracy_threshold,euclidean_f1,euclidean_f1_threshold,euclidean_precision,euclidean_recall,euclidean_ap,dot_accuracy,dot_accuracy_threshold,dot_f1,dot_f1_threshold,dot_precision,dot_recall,dot_ap
BAAI/bge-small-en-v1.5,0.7855252417818892,0.8617104291915894,0.7389957818915625,0.8279147744178772,0.6398514851485149,0.8744983582634075,0.781192885406464,0.7853397313809394,8.237064361572266,0.7386124541920382,9.19573974609375,0.6368704344482892,0.8790421544890716,0.7804095359924281,0.7855252417818892,0.5259078741073608,0.7389957818915625,0.5866603851318359,0.6398514851485149,0.8744983582634075,0.7811123801268438,0.7855252417818892,0.8617104887962341,0.7389957818915625,0.8279147744178772,0.6398514851485149,0.8744983582634075,0.7812446019868806
BAAI/bge-base-en-v1.5,0.7847584654579634,0.8596735000610352,0.7394388420113877,0.8022611141204834,0.6305751860345392,0.8937348678319127,0.7813407431730652,0.7855252417818892,11.884617805480957,0.7394636546323887,13.751622200012207,0.6351299876202267,0.8848131073596233,0.7811369700624887,0.7847584654579634,0.5297669768333435,0.7394388420113877,0.6288702487945557,0.6305751860345392,0.8937348678319127,0.7812674430416455,0.7847584654579634,0.8596735596656799,0.7394388420113877,0.8022611141204834,0.6305751860345392,0.8937348678319127,0.7813783887666497
thenlper/gte-small,0.7643028519132306,0.9361448287963867,0.7192963256819238,0.9129754304885864,0.6121161323368489,0.8719777121820171,0.7519606442282045,0.7639070963912044,5.622482776641846,0.7184165932352743,6.555065631866455,0.6075342779841335,0.8788099897184173,0.7508668584861967,0.7643028519132306,0.3573659062385559,0.7192963256819238,0.4171920120716095,0.6121161323368489,0.8719777121820171,0.751952408816406,0.7643028519132306,0.9361447095870972,0.7192963256819238,0.9129754900932312,0.6121161323368489,0.8719777121820171,0.7519631869769797
intfloat/e5-small-v2,0.7543965965025106,0.9292967915534973,0.7149966555183946,0.9085496664047241,0.5991838382026503,0.8863055951709727,0.735699094679982,0.7539266368201044,5.8149919509887695,0.7149584341786804,6.772652626037598,0.5924399973840822,0.9013631388676993,0.7352622994885372,0.7543965965025106,0.3760404884815216,0.7149966555183946,0.4276687800884247,0.5991838382026503,0.8863055951709727,0.7356634665001932,0.7543965965025106,0.9292967319488525,0.7149966555183946,0.9085496068000793,0.5991838382026503,0.8863055951709727,0.7357620920945223
sentence-transformers/all-MiniLM-L12-v2,0.7834722600113779,0.8191217184066772,0.7405425636618196,0.7553893327713013,0.6361579498904449,0.8859075984212795,0.7672803076206587,0.782742585767642,9.414459228515625,0.7402752432046762,11.002117156982422,0.6313128949216007,0.894696693310338,0.7670191625050882,0.7834722600113779,0.6014620065689087,0.7405425636618196,0.699443519115448,0.6361579498904449,0.8859075984212795,0.7672836970415541,0.7834722600113779,0.8191217184066772,0.7405425636618196,0.7553893327713013,0.6361579498904449,0.8859075984212795,0.7673288850404132
sentence-transformers/all-mpnet-base-v2,0.8100373494273913,0.7948833107948303,0.7701685191825027,0.7564975023269653,0.6784757669176732,0.8905177274385593,0.8029318146531449,0.808986123822009,13.604425430297852,0.768841679312089,15.078604698181152,0.6812826554656285,0.8822261284866174,0.8006358069542192,0.8100373494273913,0.6404946446418762,0.7701685191825027,0.6978573799133301,0.6784757669176732,0.8905177274385593,0.8029071055672333,0.8100373494273913,0.7948833107948303,0.7701685191825027,0.7564976215362549,0.6784757669176732,0.8905177274385593,0.8029501117410539
sentence-transformers/all-distilroberta-v1,0.7971381928813476,0.7823607325553894,0.7567787685178683,0.7307846546173096,0.6562195597116696,0.8937348678319127,0.7810338786820712,0.796692967919068,14.399022102355957,0.7559183673469387,16.052452087402344,0.6565930707352258,0.8906503930217903,0.779302499069765,0.7971381928813476,0.6597564220428467,0.7567787685178683,0.7337782979011536,0.6562195597116696,0.8937348678319127,0.7810338755212498,0.7971381928813476,0.7823607921600342,0.7567787685178683,0.7307846546173096,0.6562195597116696,0.8937348678319127,0.7810338969518515
sentence-transformers/multi-qa-mpnet-base-dot-v1,0.7998342773751514,0.8500022292137146,0.7556551460055877,0.8110835552215576,0.6600842418235877,0.8835859507147358,0.7975198069890632,0.7946770882287467,67.17250061035156,0.7499012941434524,73.86529541015625,0.6706334675942878,0.8504195549069683,0.7908569662434639,0.7965445595983082,3.1110730171203613,0.7515463767483154,3.402656078338623,0.6696146065667307,0.8563231733607509,0.7936881687455448,0.7809369511983972,26.433605194091797,0.743273727647868,25.371597290039062,0.6349855460762885,0.8960896819342642,0.702282047050225
sentence-transformers/multi-qa-distilbert-cos-v1,0.7905340226075342,0.7955642938613892,0.7495123513917563,0.7485343217849731,0.656646043309051,0.8729727040562502,0.7799183666078302,0.7906700635682308,13.96941089630127,0.749281778690686,16.100078582763672,0.6442174597871223,0.8952936884348778,0.7796335348211151,0.7905340226075342,0.6394305229187012,0.7495123513917563,0.7091765403747559,0.656646043309051,0.8729727040562502,0.7799274192009131,0.7905340226075342,0.7955642938613892,0.7495123513917563,0.7485343813896179,0.656646043309051,0.8729727040562502,0.7799766486385598
llmrails/ember-v1,0.7941452917460239,0.8466530442237854,0.747045249887438,0.791679322719574,0.6487378118814301,0.8804683095088057,0.795038684411828,0.7903856142867743,266.4723205566406,0.7432915669435449,304.87225341796875,0.6457594363854302,0.8755265165334483,0.7909871733252472,0.7908432066091172,10.287120819091797,0.7432327372959219,11.904199600219727,0.6476326550721782,0.8719445457862094,0.7910461467317937,0.7793168270301022,284.1470947265625,0.7326229905715549,269.577880859375,0.6427320052057263,0.8517462107392789,0.7520801843090339
