,number,value,datetime_start,datetime_complete,duration,params_activation,params_dense_out_features,params_epochs,params_model_id,params_scheduler,state
0,0,0.6474708589467386,2023-12-29 16:56:08.697774,2023-12-29 16:56:26.449690,0 days 00:00:17.751916,ReLU,301,10,intfloat/e5-small-v2,warmupcosine,COMPLETE
1,1,0.6676288990097705,2023-12-29 16:56:09.109064,2023-12-29 16:56:27.685350,0 days 00:00:18.576286,ReLU,474,10,intfloat/e5-small-v2,warmupconstant,COMPLETE
2,2,0.762601809410633,2023-12-29 16:56:09.652079,2023-12-29 16:56:29.487352,0 days 00:00:19.835273,Tanh,459,9,BAAI/bge-small-en-v1.5,warmupcosine,COMPLETE
3,3,0.7677703425682965,2023-12-29 16:56:09.731119,2023-12-29 16:56:30.472185,0 days 00:00:20.741066,Tanh,135,12,BAAI/bge-small-en-v1.5,warmupconstant,COMPLETE
4,4,0.8363180458832633,2023-12-29 16:56:21.723782,2023-12-29 16:57:29.480577,0 days 00:01:07.756795,ReLU,437,11,sentence-transformers/all-MiniLM-L12-v2,warmupcosine,COMPLETE
5,5,0.8060931781583955,2023-12-29 16:56:26.834145,2023-12-29 16:56:35.703736,0 days 00:00:08.869591,Tanh,688,7,sentence-transformers/all-MiniLM-L12-v2,warmupcosine,COMPLETE
6,6,0.7895289549105893,2023-12-29 16:56:28.138101,2023-12-29 16:56:49.664274,0 days 00:00:21.526173,Tanh,440,12,thenlper/gte-small,warmupconstant,COMPLETE
7,7,0.7868743700856591,2023-12-29 16:56:31.492891,2023-12-29 16:56:43.422337,0 days 00:00:11.929446,Tanh,377,10,thenlper/gte-small,warmupcosine,COMPLETE
8,8,0.8199817505995997,2023-12-29 16:56:32.084219,2023-12-29 16:56:43.459441,0 days 00:00:11.375222,ReLU,609,10,sentence-transformers/all-MiniLM-L12-v2,warmupcosine,COMPLETE
9,9,0.8487866762866764,2023-12-29 16:57:37.737321,2023-12-29 16:58:19.282627,0 days 00:00:41.545306,ReLU,667,12,sentence-transformers/all-MiniLM-L12-v2,warmuplinear,COMPLETE
